job_id,state,zombie_head,since_id_str,query,description,last_count,last_run,analysis_state
982,3444,4,287580445649010689,q=%40reploubarletta,Official account for republican incumbent in PA-11,27,01/05/2013 20:36:48,2
983,3456,4,287055385406357505,q=%40loubarletta,Campaign account for Republican incumbent in PA-11,2,01/05/2013 09:36:50,2
984,3468,1,288060332562321408,q=%40repmarkcritz,Official account for Democratic incumbent in PA-12,0,01/06/2013 23:12:04,2
985,180,1,288298908017381376,q=%40critz4congress,Campaign account for democratic incumbent in PA-12,0,01/07/2013 15:00:06,2
986,3492,2,287634707011739649,q=%40usrepmikedoyle,Official account for democratic incumbent in PA-14,7,01/06/2013 13:48:18,2
987,876,1,288011768867999744,q=%40dentforcongress,Campaign account for republican incumbent in PA-15,1,01/07/2013 00:48:03,2
988,174,3,288276365864755201,q=%40dentpressshop,Press account for Republican incumbent in PA-15,0,01/07/2013 13:30:33,2
989,4572,4,286290557859405825,q=%40joepitts4pa,Campaign account for Republican incumbent in PA-16,2,01/04/2013 21:36:51,2
990,2292,4,287823104426786816,q=%40repjoepitts,Official account for Republican incumbent in PA-16,58,01/06/2013 08:12:49,2
991,3552,2,287420174116737025,q=%40timholdenpa17,Lost in primary to Matt Cartwright,0,01/05/2013 04:48:18,2
992,3564,1,287818745152430080,q=%40reptimholden,Lost in Primary to Matt Cartwight,0,01/06/2013 07:12:05,2
993,108,2,288280840339869699,q=%40reptimmurphy,Official account for Republican incumbent in PA-18,0,01/07/2013 13:48:17,2
994,180,4,288291106775519232,q=%40pedropierluisi,,6,01/07/2013 15:00:48,2
995,108,3,288280908065304578,q=%40pierluisi_2012,,0,01/07/2013 13:48:34,2
996,450,3,288253733530390528,q=%40davidcicilline,,0,01/07/2013 12:00:35,2
997,3612,1,288087078103830528,q=%40jimlangevin,,19,01/07/2013 04:48:10,2
998,3624,2,287909391246712833,q=%40repjimlangevin,,0,01/06/2013 13:12:17,2
999,162,4,288267375424462848,q=%40votetimscott,Campaign account for republican incumbent in SC-1,0,01/07/2013 12:54:47,2
1000,105,1,288287570083868672,q=%40reptimscott,Official account for republican incumbent in SC-1,0,01/07/2013 14:15:02,2
1001,162,3,288267312367292417,q=%40congjoewilson,Campaign account for republican incumbent in SC-2,0,01/07/2013 12:54:32,2
1002,3264,4,288259378426032128,q=%40usrepjoewilson,Official account of republican incumbent in SC-2,17,01/07/2013 12:48:48,2
1003,6540,1,286646930287783936,q=%40duncan4congress,Campaign account of Republican incumbent in SC-3,5,01/04/2013 15:00:05,2
1004,165,4,288283818606075904,q=%40repjeffduncan,Official account of republican incumbent in SC-3,15,01/07/2013 14:00:49,2
1005,3282,3,287637391735406593,q=%40tgowdy,Campaign account of republican incumbent in SC-4,2,01/07/2013 13:48:34,2
1006,152,4,288281181089304578,q=%40tgowdysc,Official account of republican incumbent in SC-4,7,01/07/2013 13:52:47,2
1007,165,3,288283957747933186,q=%40mickmulvaney,Campaign account of republican incumbent in SC-5,0,01/07/2013 14:00:43,2
1008,3294,4,287490198437257216,q=%40repmickmulvaney,Official account of republican incumbent in SC-5,96,01/05/2013 13:12:50,2
1009,129,2,288274789641101312,q=%40clyburn,Official account of democratic incumbent in SC-6,0,01/07/2013 13:24:17,2
1010,2760,3,287627970280034304,q=%40repkristinoem,official account for republican incumbent represetnative in south dakota,4,01/05/2013 22:00:35,2
1011,104,3,288287941451739139,q=%40kristinoem,campaign account for republican incumbent in south dakota,0,01/07/2013 14:16:33,2
1012,2190,2,287959753584427008,q=%40drphilroe,,6,01/06/2013 17:30:17,2
1013,951,2,288274982084177920,q=%40repchuck,,4,01/07/2013 15:12:16,2
1014,3816,3,287645682867781632,q=%40chuck4congress,,1,01/06/2013 20:24:36,2
1015,957,3,288059253565034497,q=%40desjarlaistn04,,9,01/07/2013 01:54:35,2
1016,3840,4,287777996314664961,q=%40tndesjarlais,,1,01/07/2013 00:00:51,2
1017,963,3,288120232529248256,q=%40repjimcooper,,5,01/07/2013 06:45:35,2
1018,966,1,288134159887642624,q=%40repdianeblack,,7,01/07/2013 06:12:10,2
1019,323,3,288291339689418752,q=%40marshablackburn,,4,01/07/2013 14:30:34,2
1020,3888,1,287818745152430080,q=%40stephenfincher,,0,01/06/2013 07:12:05,2
1021,3900,1,287700444845846530,q=%40repfinchertn08,,19,01/06/2013 01:00:10,2
1022,489,1,288258689956196352,q=%40repcohen,,1,01/07/2013 12:30:03,2
1023,0,4,0,q=%40repfinchertn08,,1,07/22/2012 16:00:42,2
1024,0,2,0,q=%40repcohen,,1,07/22/2012 09:55:09,2
1025,987,3,288238323514875905,q=%40replouiegohmert,,61,01/07/2013 11:48:34,2
1026,135,1,288283808640425984,q=%40judgetedpoe,,2,01/07/2013 14:15:02,2
1027,312,4,288220949482991616,q=%40samspressshop,,2,01/07/2013 10:48:47,2
1028,180,4,288259896196091904,q=%40rephensarling,,1,01/07/2013 15:00:49,2
1029,3624,2,287909391267672065,q=%40repjhensarling,,0,01/06/2013 13:12:17,2
1030,334,2,288251371055095808,q=%40repjoebarton,,1,01/07/2013 14:42:17,2
1031,2010,3,287445639011385344,q=%40congculberson,,1,01/06/2013 12:00:35,2
1032,4404,4,287123120463159296,q=%40johnculberson,,12,01/05/2013 15:48:47,2
1033,2298,4,288263436482269184,q=%40repkevinbrady,,15,01/07/2013 13:48:48,2
1034,4608,4,288029388245704706,q=%40repalgreen,,15,01/07/2013 00:00:52,2
1035,2310,1,287762798472216576,q=%40mccaulpressshop,,9,01/06/2013 05:00:06,2
1036,2322,2,288117722770984960,q=%40conawaytx11,,26,01/07/2013 04:48:21,2
1037,945,3,288242475221516289,q=%40repkaygranger,,6,01/07/2013 14:15:33,2
1038,2052,4,288084536062013440,q=%40mactxpress,,8,01/07/2013 01:12:52,2
1039,0,3,0,q=%40ronpaul,already tasked earlier,0,07/25/2012 21:01:01,2
1040,0,1,0,q=%40repronpaul,already tasked earlier,0,07/25/2012 20:48:56,2
1041,4140,4,287639819620868096,q=%40usreprhinojosa,,8,01/06/2013 21:00:52,2
1042,4152,3,287812820484116480,q=%40ruben_hinojosa,,0,01/06/2013 06:48:33,2
1043,2082,2,288025653675188225,q=%40silvestrereyes,,0,01/06/2013 20:54:16,2
1044,4176,2,288106827407822849,q=%40repbillflores,,61,01/07/2013 04:48:23,2
1045,4188,1,287435879490936832,q=%40flores4congress,,17,01/05/2013 19:36:05,2
1046,171,2,288262720145485824,q=%40jacksonleetx18,,0,01/07/2013 12:36:18,2
1047,2916,3,288063479741562880,q=%40jacksonlee18,,0,01/06/2013 23:24:34,2
